District,Inc.,Candidates,Dem Candidate,Rep Candidate
Iowa 4,Rep.,"R. MELTON
R. FEENSTRA",R. MELTON,R. FEENSTRA
N.J. 4,Rep.,"M. JENKINS
C. SMITH",M. JENKINS,C. SMITH
Calif. 17,Dem.,"R. KHANNA
R. TANDON",R. KHANNA,R. TANDON
Wash. 9,Dem.,"S. SMITH
D. BASLER",S. SMITH,D. BASLER
Mo. 3,Rep.,"B. MANN
B. LUETKEMEYER",B. MANN,B. LUETKEMEYER
Mich. 9,Rep.,"B. JAYE
L. McCLAIN",B. JAYE,L. McCLAIN
Calif. 19,Dem.,"J. PANETTA
J. GORMAN",J. PANETTA,J. GORMAN
Ala. 3,Rep.,"L. VEASEY
M. ROGERS",L. VEASEY,M. ROGERS
Ohio 5,Rep.,"C. SWARTZ
B. LATTA",C. SWARTZ,B. LATTA
Calif. 44,Dem.,"N. BARRAGÁN
P. JONES",N. BARRAGÁN,P. JONES
Kan. 1,Rep.,"J. BEARD
T. MANN",J. BEARD,T. MANN
Mass. 8,Dem.,"S. LYNCH
R. BURKE",S. LYNCH,R. BURKE
N.C. 8,Rep.,"S. HUFFMAN
D. BISHOP",S. HUFFMAN,D. BISHOP
Ind. 3,Rep.,"G. SNYDER
J. BANKS",G. SNYDER,J. BANKS
W.Va. 1,Rep.,"L. WATSON
C. MILLER",L. WATSON,C. MILLER
Tenn. 3,Rep.,"M. GORMAN
C. FLEISCHMANN",M. GORMAN,C. FLEISCHMANN
La. 3,Open,"–
–",–,–
Ala. 2,Rep.,"P. HALL
B. MOORE",P. HALL,B. MOORE
Pa. 2,Dem.,"B. BOYLE
A. BASHIR",B. BOYLE,A. BASHIR
Utah 3,Rep.,"G. WRIGHT
J. CURTIS",G. WRIGHT,J. CURTIS
Tex. 36,Rep.,"J. HAIRE
B. BABIN",J. HAIRE,B. BABIN
Tex. 33,Dem.,"M. VEASEY
P. GILLESPIE",M. VEASEY,P. GILLESPIE
Ill. 4,Dem.,"J. GARCIA
J. FALAKOS",J. GARCIA,J. FALAKOS
Ark. 4,Rep.,"J. WHITE
B. WESTERMAN",J. WHITE,B. WESTERMAN
Tenn. 2,Rep.,"M. HARMON
T. BURCHETT",M. HARMON,T. BURCHETT
Mich. 13,Open,"S. THANEDAR
M. BIVINGS",S. THANEDAR,M. BIVINGS
Pa. 9,Rep.,"A. WALDMAN
D. MEUSER",A. WALDMAN,D. MEUSER
Tenn. 9,Dem.,"S. COHEN
C. BERGMANN",S. COHEN,C. BERGMANN
N.C. 10,Rep.,"P. GENANT
P. McHENRY",P. GENANT,P. McHENRY
Va. 9,Rep.,"T. DEVAUGHAN
G. GRIFFITH",T. DEVAUGHAN,G. GRIFFITH
Ind. 6,Rep.,"C. WIRTH
G. PENCE",C. WIRTH,G. PENCE
Miss. 1,Rep.,"D. BLACK
T. KELLY",D. BLACK,T. KELLY
Miss. 4,Open,"J. DUPREE
M. EZELL",J. DUPREE,M. EZELL
Mich. 2,Rep.,"J. HILLIARD
J. MOOLENAAR",J. HILLIARD,J. MOOLENAAR
Fla. 20,Dem.,"S. McCORMICK
D. CLARK",S. McCORMICK,D. CLARK
Mo. 4,Open,"J. TRUMAN
M. ALFORD",J. TRUMAN,M. ALFORD
Fla. 12,Rep.,"K. WALKER
G. BILIRAKIS",K. WALKER,G. BILIRAKIS
Ariz. 3,Dem.,"R. GALLEGO
J. ZINK",R. GALLEGO,J. ZINK
Calif. 8,Dem.,"J. GARAMENDI
R. RECILE",J. GARAMENDI,R. RECILE
Minn. 7,Rep.,"J. ABAHSAIN
M. FISCHBACH",J. ABAHSAIN,M. FISCHBACH
Mo. 7,Open,"K. SHEAFER
E. BURLISON",K. SHEAFER,E. BURLISON
Va. 8,Dem.,"D. BEYER
K. LIPSMAN",D. BEYER,K. LIPSMAN
Ohio 4,Rep.,"T. WILSON
J. JORDAN",T. WILSON,J. JORDAN
Idaho 1,Rep.,"K. PETERSON
R. FULCHER",K. PETERSON,R. FULCHER
Mich. 12,Dem.,"R. TLAIB
S. ELLIOTT",R. TLAIB,S. ELLIOTT
Pa. 15,Rep.,"M. MOLESEVICH
G. THOMPSON",M. MOLESEVICH,G. THOMPSON
Tex. 37,Dem.,"L. DOGGETT
J. SHARON",L. DOGGETT,J. SHARON
Ill. 12,Rep.,"H. MARKEL
M. BOST",H. MARKEL,M. BOST
Wis. 4,Dem.,"G. MOORE
T. ROGERS",G. MOORE,T. ROGERS
Ore. 3,Dem.,"E. BLUMENAUER
J. HARBOUR",E. BLUMENAUER,J. HARBOUR
Ga. 4,Dem.,"H. JOHNSON
J. CHAVEZ",H. JOHNSON,J. CHAVEZ
Calif. 2,Dem.,"J. HUFFMAN
D. BROWER",J. HUFFMAN,D. BROWER
Tenn. 8,Rep.,"L. WILLIAMS
D. KUSTOFF",L. WILLIAMS,D. KUSTOFF
La. 2,Dem.,"T. CARTER
D. LUX",T. CARTER,D. LUX
Fla. 24,Dem.,"F. WILSON
J. NAVARRO",F. WILSON,J. NAVARRO
Mass. 5,Dem.,"K. CLARK
C. COLARUSSO",K. CLARK,C. COLARUSSO
Ill. 15,Rep.,"P. LANGE
M. MILLER",P. LANGE,M. MILLER
Ky. 2,Rep.,"H. LINDERMAN
B. GUTHRIE",H. LINDERMAN,B. GUTHRIE
Tex. 1,Open,"J. JEFFERSON
N. MORAN",J. JEFFERSON,N. MORAN
Ky. 1,Rep.,"J. AUSBROOKS
J. COMER",J. AUSBROOKS,J. COMER
Tex. 30,Open,"J. CROCKETT
J. RODGERS",J. CROCKETT,J. RODGERS
Mo. 6,Rep.,"H. MARTIN
S. GRAVES",H. MARTIN,S. GRAVES
Ohio 11,Dem.,"S. BROWN
E. BREWER",S. BROWN,E. BREWER
Minn. 5,Dem.,"I. OMAR
CICELY DAVIS",I. OMAR,CICELY DAVIS
Tex. 9,Dem.,"A. GREEN
J. LEON",A. GREEN,J. LEON
N.Y. 14,Dem.,"A. OCASIO-CORTEZ
T. FORTE",A. OCASIO-CORTEZ,T. FORTE
Ga. 13,Dem.,"D. SCOTT
C. GONZALES",D. SCOTT,C. GONZALES
Ark. 1,Rep.,"M. HODGES
R. CRAWFORD",M. HODGES,R. CRAWFORD
Calif. 43,Dem.,"M. WATERS
O. NAVARRO",M. WATERS,O. NAVARRO
Okla. 3,Rep.,"J. ROSS
F. LUCAS",J. ROSS,F. LUCAS
Wyo.,Open,"L. BULL
H. HAGEMAN",L. BULL,H. HAGEMAN
Md. 7,Dem.,"K. MFUME
S. COLLIER",K. MFUME,S. COLLIER
N.Y. 9,Dem.,"Y. CLARKE
M. RAITPORT",Y. CLARKE,M. RAITPORT
Colo. 1,Dem.,"D. DeGETTE
J. QUALTERI",D. DeGETTE,J. QUALTERI
Ga. 9,Rep.,"M. FORD
A. CLYDE",M. FORD,A. CLYDE
N.Y. 5,Dem.,"G. MEEKS
P. KING",G. MEEKS,P. KING
Ga. 14,Rep.,"M. FLOWERS
M. GREENE",M. FLOWERS,M. GREENE
Tex. 13,Rep.,"K. BROWN
R. JACKSON",K. BROWN,R. JACKSON
La. 1,Rep.,"K. DARLING
S. SCALISE",K. DARLING,S. SCALISE
Ohio 2,Rep.,"S. MEADOWS
B. WENSTRUP",S. MEADOWS,B. WENSTRUP
Md. 8,Dem.,"J. RASKIN
G. COLL",J. RASKIN,G. COLL
Mo. 1,Dem.,"C. BUSH
A. JONES",C. BUSH,A. JONES
N.Y. 8,Dem.,"H. JEFFRIES
Y. DASHEVSKY",H. JEFFRIES,Y. DASHEVSKY
Tenn. 1,Rep.,"C. PARSONS
D. HARSHBARGER",C. PARSONS,D. HARSHBARGER
Okla. 2,Open,"N. ANDREWS
J. BRECHEEN",N. ANDREWS,J. BRECHEEN
Mo. 8,Rep.,"R. McCALLIAN
J. SMITH",R. McCALLIAN,J. SMITH
Neb. 3,Rep.,"D. ELSE
A. SMITH",D. ELSE,A. SMITH
N.J. 10,Dem.,"D. PAYNE
D. PINCKNEY",D. PAYNE,D. PINCKNEY
N.Y. 7,Dem.,"N. VELAZQUEZ
J. PAGAN",N. VELAZQUEZ,J. PAGAN
Ky. 5,Rep.,"C. HALBLEIB
H. ROGERS",C. HALBLEIB,H. ROGERS
N.Y. 10,Open,"D. GOLDMAN
B. HAMDAN",D. GOLDMAN,B. HAMDAN
Mass. 7,Dem.,"A. PRESSLEY
D. PALMER",A. PRESSLEY,D. PALMER
N.Y. 15,Dem.,"R. TORRES
S. SAPASKIS",R. TORRES,S. SAPASKIS
Ala. 4,Rep.,"R. NEIGHBORS
R. ADERHOLT",R. NEIGHBORS,R. ADERHOLT
N.Y. 12,Dem.,"J. NADLER
M. ZUMBLUSKAS",J. NADLER,M. ZUMBLUSKAS
Ga. 5,Dem.,"N. WILLIAMS
C. ZIMM",N. WILLIAMS,C. ZIMM
Wash. 7,Dem.,"P. JAYAPAL
C. MOON",P. JAYAPAL,C. MOON
Calif. 11,Dem.,"N. PELOSI
J. DENNIS",N. PELOSI,J. DENNIS
Md. 4,Open,"G. GLENNEY
J. WARNER",G. GLENNEY,J. WARNER
Calif. 12,Dem.,"B. LEE
S. SLAUSON",B. LEE,S. SLAUSON
Ala. 1,Rep.,"–
J. CARL",–,J. CARL
Ala. 6,Rep.,"–
G. PALMER",–,G. PALMER
Ariz. 8,Rep.,"–
D. LESKO",–,D. LESKO
Ariz. 9,Rep.,"–
P. GOSAR",–,P. GOSAR
Calif. 10,Dem.,"M. DeSAULNIER
–",M. DeSAULNIER,–
Calif. 15,Open,"–
–",–,–
Calif. 16,Dem.,"–
–",–,–
Calif. 29,Dem.,"–
–",–,–
Calif. 30,Dem.,"–
–",–,–
Calif. 34,Dem.,"–
–",–,–
Calif. 37,Open,"–
–",–,–
Fla. 6,Rep.,"–
M. WALTZ",–,M. WALTZ
Fla. 18,Rep.,"–
S. FRANKLIN",–,S. FRANKLIN
Ill. 7,Dem.,"DANNY DAVIS
–",DANNY DAVIS,–
Mass. 4,Dem.,"J. AUCHINCLOSS
–",J. AUCHINCLOSS,–
N.D.,Rep.,"–
K. ARMSTRONG",–,K. ARMSTRONG
N.Y. 13,Dem.,"A. ESPAILLAT
–",A. ESPAILLAT,–
Pa. 3,Dem.,"D. EVANS
–",D. EVANS,–
Pa. 13,Rep.,"–
J. JOYCE",–,J. JOYCE
Pa. 14,Rep.,"–
G. RESCHENTHALER",–,G. RESCHENTHALER
S.C. 3,Rep.,"–
J. DUNCAN",–,J. DUNCAN
S.C. 4,Rep.,"–
W. TIMMONS",–,W. TIMMONS
S.D.,Rep.,"–
D. JOHNSON",–,D. JOHNSON
Tex. 6,Rep.,"–
J. ELLZEY",–,J. ELLZEY
Tex. 11,Rep.,"–
A. PFLUGER",–,A. PFLUGER
Tex. 19,Rep.,"–
J. ARRINGTON",–,J. ARRINGTON
Tex. 25,Rep.,"–
R. WILLIAMS",–,R. WILLIAMS
Tex. 26,Rep.,"–
M. BURGESS",–,M. BURGESS
Tex. 31,Rep.,"–
J. CARTER",–,J. CARTER
Wis. 6,Rep.,"–
G. GROTHMAN",–,G. GROTHMAN
